subkernel,shape,source,materialized_ms,dyop_native_ms,speedup_vs_materialized,passes_speed_gate,max_abs_error
linear,gemv_qwen_mlp,results/level2/native_kernels_cleaned_primitives_bits6_r30.csv,0.18438749636212984,0.14786804094910622,1.246973282249631,True,2.6702880859375e-05
linear,gemm_qwen_seq,results/level2/native_kernels_cleaned_primitives_bits6_r30.csv,0.19239583052694798,1.4374805303911369,0.13384239052935018,False,0.00014495849609375
linear,output_projection_gemv,results/level2/native_kernels_cleaned_primitives_bits6_r30.csv,6.64467359893024,2.8616430315499506,2.3219785017460013,True,3.814697265625e-05
linear,output_projection,results/level2/native_kernels_cleaned_primitives_bits6_r30.csv,10.843443063398203,21.028629162659247,0.5156514473446047,False,0.00018310546875
embedding,qwen_vocab_width,results/level2/native_kernels_cleaned_primitives_bits6_r30.csv,0.015501406354208788,0.018959733036657173,0.8175962353603831,False,0.0
resnet_conv3x3,resnet_conv3x3,results/level2/native_conv2d_cleaned_primitives_bits6_r20.csv,3.935539594385773,8.346216648351401,0.4715357580806564,False,0.000148773193359375
resnet_layer2_stride2_3x3,resnet_layer2_stride2_3x3,results/level2/native_conv2d_cleaned_primitives_bits6_r20.csv,0.34723749849945307,0.5407354445196688,0.6421578278596135,False,9.918212890625e-05
resnet_layer3_stride2_3x3,resnet_layer3_stride2_3x3,results/level2/native_conv2d_cleaned_primitives_bits6_r20.csv,0.26236874982714653,0.7300750003196299,0.3593723243670587,False,0.0002288818359375
resnet_layer4_stride2_3x3,resnet_layer4_stride2_3x3,results/level2/native_conv2d_cleaned_primitives_bits6_r20.csv,0.2288645482622087,1.1936500086449087,0.19173505349530992,False,0.00042724609375
resnet_downsample,resnet_downsample,results/level2/native_conv2d_cleaned_primitives_bits6_r20.csv,0.26560210390016437,0.9849500027485192,0.26966049358748906,False,2.86102294921875e-05
relu,resnet_relu,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.10501000098884106,0.08864833973348141,1.184568163425852,True,0.0
add,resnet_add,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.15762418042868376,0.10275666136294603,1.5339558364196026,True,0.0
add_relu,resnet_add_relu,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.28379665687680244,0.09991668164730072,2.8403330875077084,True,0.0
maxpool2d,resnet_maxpool,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,14.616285837255418,8.79926084075123,1.661081095535243,True,0.0
adaptive_avgpool2d,resnet_global_avgpool,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.01333167776465416,0.0620125001296401,0.21498371677941783,False,1.1920928955078125e-07
