family,prompt_id,variant,exact_match,edit_ratio,token_jaccard,cosine,judge_equivalent,judge_reason
arc,Mercury_417466,dyop_native_4,False,0.2435897435897436,0.20967741935483872,0.9182104425216369,,
arc,Mercury_417466,dyop_native_5,False,0.37163120567375885,0.3305785123966942,0.9524857739384828,,
arc,Mercury_417466,dyop_native_6,False,0.45299145299145294,0.2903225806451613,0.9596573329370646,,
arc,Mercury_417466,dyop_native_8,False,0.42592592592592593,0.4017094017094017,0.9853520447278242,,
arc,Mercury_7081673,dyop_native_4,False,0.2620967741935484,0.07692307692307693,0.5724164664437399,,
arc,Mercury_7081673,dyop_native_5,False,0.31854838709677424,0.2620689655172414,0.935366639858786,,
arc,Mercury_7081673,dyop_native_6,False,0.4139784946236559,0.3357142857142857,0.9664201960815572,,
arc,Mercury_7081673,dyop_native_8,False,0.44220430107526887,0.4126984126984127,0.9872150265376315,,
arc,Mercury_7239733,dyop_native_4,False,0.2062992125984252,0.061946902654867256,0.4644550343051667,,
arc,Mercury_7239733,dyop_native_5,False,0.2786624203821656,0.12931034482758622,0.8643690955977844,,
arc,Mercury_7239733,dyop_native_6,False,0.23896499238964997,0.208955223880597,0.8623846903525191,,
arc,Mercury_7239733,dyop_native_8,False,0.24517087667161963,0.23076923076923078,0.8791279389778204,,
arc,NYSEDREGENTS_2015_4_8,dyop_native_4,False,0.21864406779661016,0.05660377358490566,0.5258881347288829,,
arc,NYSEDREGENTS_2015_4_8,dyop_native_5,False,0.25168918918918914,0.22950819672131148,0.880721353878023,,
arc,NYSEDREGENTS_2015_4_8,dyop_native_6,False,0.29448818897637796,0.30952380952380953,0.9554975447035884,,
arc,NYSEDREGENTS_2015_4_8,dyop_native_8,False,0.3230016313213703,0.3076923076923077,0.963661056339463,,
arc,Mercury_7037258,dyop_native_4,False,0.2248520710059172,0.09375,0.6555001794327152,,
arc,Mercury_7037258,dyop_native_5,False,0.36934306569343067,0.33043478260869563,0.9028161380371743,,
arc,Mercury_7037258,dyop_native_6,False,0.3275613275613276,0.25,0.935105752499374,,
arc,Mercury_7037258,dyop_native_8,False,0.4627737226277372,0.41739130434782606,0.9573357837757016,,
arc,CSZ20679,dyop_native_4,False,0.3079178885630498,0.21818181818181817,0.877831815123171,,
arc,CSZ20679,dyop_native_5,False,0.48830409356725146,0.38235294117647056,0.9759424818219525,,
arc,CSZ20679,dyop_native_6,False,0.2376395534290271,0.17886178861788618,0.8746418949772273,,
arc,CSZ20679,dyop_native_8,False,0.5946791862284819,0.4838709677419355,0.9882835243278265,,
arc,Mercury_182158,dyop_native_4,False,0.20814479638009054,0.09868421052631579,0.6336808173877059,,
arc,Mercury_182158,dyop_native_5,False,0.2817919075144508,0.22,0.878038435576245,,
arc,Mercury_182158,dyop_native_6,False,0.40120663650075417,0.3739130434782609,0.9456142436559,,
arc,Mercury_182158,dyop_native_8,False,0.3544494720965309,0.22131147540983606,0.9173549829015475,,
arc,Mercury_7216668,dyop_native_4,False,0.20785597381342058,0.01020408163265306,0.49379079567460293,,
arc,Mercury_7216668,dyop_native_5,False,0.2549317147192717,0.2396694214876033,0.8853336576245121,,
arc,Mercury_7216668,dyop_native_6,False,0.3053892215568862,0.2966101694915254,0.874683523046097,,
arc,Mercury_7216668,dyop_native_8,False,0.41080196399345337,0.3917525773195876,0.9626109395921741,,
